code_departement,annee,type_local,pieces_cat,prix_m2_median,transactions
25,2021,Maison,T2,2093.478260869565,203
25,2021,Maison,T3,1982.2222222222222,656
25,2021,Maison,T4,2142.8571428571427,1474
25,2021,Maison,T5+,1884.8920863309352,2287
25,2021,Maison,Tous,1986.6666666666667,4683
25,2021,Tous,Studio,3000.0,1111
25,2021,Tous,T2,2500.0,1616
25,2021,Tous,T3,2101.470588235294,2554
25,2021,Tous,T4,2000.0,2882
25,2021,Tous,T5+,1843.2233146067415,2766
25,2021,Tous,Tous,2108.472222222222,10941
26,2021,Appartement,Studio,3382.905982905983,576
26,2021,Appartement,T2,2444.081632653061,1099
26,2021,Appartement,T3,2006.5051258154708,1540
26,2021,Appartement,T4,1630.6306306306305,1021
26,2021,Appartement,T5+,1561.2021857923498,259
26,2021,Appartement,Tous,2030.6122448979593,4503
26,2021,Maison,Studio,3074.96855345912,156
26,2021,Maison,T2,2414.090909090909,380
26,2021,Maison,T3,2417.5824175824177,1135
26,2021,Maison,T4,2437.0812807881775,2604
26,2021,Maison,T5+,2324.7863247863247,2849
26,2021,Maison,Tous,2382.8571428571427,7127
26,2021,Tous,Studio,3309.967320261438,732
26,2021,Tous,T2,2440.0,1479
26,2021,Tous,T3,2152.777777777778,2675
26,2021,Tous,T4,2253.3333333333335,3625
26,2021,Tous,T5+,2278.91156462585,3108
26,2021,Tous,Tous,2284.1298030351954,11630
27,2021,Appartement,Studio,3333.3333333333335,423
27,2021,Appartement,T2,2331.1403508771928,690
27,2021,Appartement,T3,1944.9842105263158,614
27,2021,Appartement,T4,1637.878787878788,225
27,2021,Appartement,T5+,1625.0,73
27,2021,Appartement,Tous,2134.1463414634145,2027
27,2021,Maison,Studio,8125.0,553
27,2021,Maison,T2,2413.793103448276,981
27,2021,Maison,T3,2005.2631578947369,2474
27,2021,Maison,T4,1976.7980189491818,4054
27,2021,Maison,T5+,1791.4893617021276,5434
27,2021,Maison,Tous,1936.2385321100917,13501
27,2021,Tous,Studio,7255.072463768116,976
27,2021,Tous,T2,2364.5833333333335,1671
27,2021,Tous,T3,2000.0,3088
27,2021,Tous,T4,1959.4594594594594,4279
27,2021,Tous,T5+,1789.7727272727273,5507
27,2021,Tous,Tous,1950.0,15528
28,2021,Appartement,Studio,2653.6731634182906,382
28,2021,Appartement,T2,2500.0,645
28,2021,Appartement,T3,2153.846153846154,597
28,2021,Appartement,T4,1666.6666666666667,263
28,2021,Appartement,T5+,1828.1938325991189,101
28,2021,Appartement,Tous,2313.321385902031,1990
28,2021,Maison,Studio,2878.5714285714284,236
28,2021,Maison,T2,1741.5249433106576,630
28,2021,Maison,T3,1849.3150684931506,1501
28,2021,Maison,T4,1865.625,2370
28,2021,Maison,T5+,1831.6831683168316,3647
28,2021,Maison,Tous,1850.0,8399
28,2021,Tous,Studio,2677.1780303030305,618
28,2021,Tous,T2,2259.5238095238096,1275
28,2021,Tous,T3,1914.9626865671642,2098
28,2021,Tous,T4,1852.7777777777778,2633
28,2021,Tous,T5+,1830.4003801076972,3748
28,2021,Tous,Tous,1923.076923076923,10389
29,2021,Appartement,Studio,3157.8947368421054,1291
29,2021,Appartement,T2,2275.3636363636365,2267
29,2021,Appartement,T3,2050.714285714286,2179
29,2021,Appartement,T4,1687.5,1295
29,2021,Appartement,T5+,1582.1782178217823,493
29,2021,Appartement,Tous,2083.3333333333335,7537
29,2021,Maison,Studio,2410.714285714286,399
29,2021,Maison,T2,2027.64,929
29,2021,Maison,T3,1978.9935064935066,2754
29,2021,Maison,T4,1945.8333333333333,3906
29,2021,Maison,T5+,1880.3418803418804,8759
29,2021,Maison,Tous,1923.076923076923,16769
29,2021,Tous,Studio,3000.0,1690
29,2021,Tous,T2,2225.0,3196
29,2021,Tous,T3,2002.1538461538462,4933
29,2021,Tous,T4,1855.5555555555557,5201
29,2021,Tous,T5+,1863.1,9252
29,2021,Tous,Tous,1972.972972972973,24306
2A,2021,Appartement,Studio,4400.0,257
2A,2021,Appartement,T2,4081.304347826087,487
2A,2021,Appartement,T3,3436.491935483871,586
2A,2021,Appartement,T4,3058.823529411765,411
2A,2021,Appartement,T5+,2688.25,65
2A,2021,Appartement,Tous,3666.6666666666665,1807
2A,2021,Maison,Studio,6376.048076923077,42
2A,2021,Maison,T2,5250.634146341464,117
2A,2021,Maison,T3,4479.268292682927,288
2A,2021,Maison,T4,4643.613756613757,352
2A,2021,Maison,T5+,4811.600775193799,386
2A,2021,Maison,Tous,4744.403251387788,1188
2A,2021,Tous,Studio,4576.923076923077,299
2A,2021,Tous,T2,4241.787439613527,604
2A,2021,Tous,T3,3721.2192569335425,874
2A,2021,Tous,T4,3693.6936936936936,763
2A,2021,Tous,T5+,4444.444444444444,451
2A,2021,Tous,Tous,4000.0,2995
2B,2021,Appartement,Studio,3315.0,311
2B,2021,Appartement,T2,3195.972222222222,570
2B,2021,Appartement,T3,2876.470588235294,589
2B,2021,Appartement,T4,2458.246527777778,322
2B,2021,Appartement,T5+,2329.9589929429717,86
2B,2021,Appartement,Tous,2940.625,1881
2B,2021,Maison,Studio,2947.1153846153848,58
2B,2021,Maison,T2,3557.7027027027025,135
2B,2021,Maison,T3,2935.483870967742,215
2B,2021,Maison,T4,3209.1954022988507,337
2B,2021,Maison,T5+,2815.1061477222465,256
2B,2021,Maison,Tous,3088.1944444444443,1002
2B,2021,Tous,Studio,3300.3703703703704,369
2B,2021,Tous,T2,3279.285714285714,705
2B,2021,Tous,T3,2887.9928315412185,804
2B,2021,Tous,T4,2777.777777777778,659
2B,2021,Tous,T5+,2672.140972972973,342
2B,2021,Tous,Tous,3000.0,2883
30,2021,Appartement,Studio,3890.873015873016,1552
30,2021,Appartement,T2,2985.714285714286,2519
30,2021,Appartement,T3,2378.4290271132377,2230
30,2021,Appartement,T4,1805.5555555555557,1115
30,2021,Appartement,T5+,1679.9928632600627,342
30,2021,Appartement,Tous,2611.1111111111113,7783
30,2021,Maison,Studio,3125.0,342
30,2021,Maison,T2,2775.0,736
30,2021,Maison,T3,2496.089794303797,2130
30,2021,Maison,T4,2481.176470588235,4082
